exact_age,male_death_probability,male_number_of_lives,male_life_expectancy,female_death_probability,female_number_of_lives,female_life_expectancy,year
58,0.009863,87867,23.09,0.005893,92542,26.25,2014
59,0.010572,87001,22.32,0.006266,91997,25.4,2014
60,0.011354,86081,21.55,0.006688,91420,24.56,2014
61,0.012202,85104,20.79,0.007176,90809,23.72,2014
62,0.013061,84065,20.04,0.007724,90157,22.89,2014
63,0.01392,82967,19.3,0.008339,89461,22.07,2014
64,0.014819,81812,18.57,0.009034,88715,21.25,2014
65,0.015826,80600,17.84,0.009832,87914,20.44,2014
66,0.016986,79324,17.12,0.01074,87049,19.63,2014
67,0.018295,77977,16.4,0.011754,86114,18.84,2014
68,0.019776,76550,15.7,0.012881,85102,18.06,2014
69,0.021448,75036,15.01,0.014141,84006,17.29,2014
70,0.02338,73427,14.32,0.015612,82818,16.53,2014
71,0.025549,71710,13.66,0.017275,81525,15.78,2014
72,0.027885,69878,13,0.019047,80117,15.05,2014
73,0.030374,67930,12.36,0.020909,78591,14.34,2014
74,0.033099,65866,11.73,0.022939,76947,13.63,2014
75,0.036254,63686,11.11,0.025297,75182,12.94,2014
76,0.039882,61377,10.51,0.028045,73280,12.26,2014
77,0.043879,58930,9.93,0.031131,71225,11.6,2014
78,0.048256,56344,9.36,0.034582,69008,10.96,2014
79,0.053123,53625,8.81,0.038467,66621,10.33,2014
80,0.058711,50776,8.28,0.043008,64059,9.73,2014
81,0.065081,47795,7.76,0.048175,61304,9.14,2014
82,0.072139,44685,7.27,0.053772,58350,8.58,2014
83,0.079912,41461,6.8,0.05977,55213,8.04,2014
84,0.088529,38148,6.34,0.066367,51913,7.52,2014
85,0.098148,34771,5.91,0.073828,48467,7.01,2014
86,0.108902,31358,5.5,0.082382,44889,6.53,2014
87,0.120886,27943,5.11,0.092183,41191,6.08,2014
88,0.134149,24565,4.74,0.103305,37394,5.64,2014
89,0.148699,21270,4.4,0.115746,33531,5.23,2014
90,0.164525,18107,4.08,0.129475,29650,4.85,2014
91,0.1816,15128,3.79,0.144443,25811,4.5,2014
92,0.199884,12381,3.52,0.16059,22083,4.18,2014
93,0.219331,9906,3.27,0.177853,18536,3.88,2014
94,0.239886,7733,3.05,0.196165,15240,3.61,2014
95,0.260269,5878,2.85,0.214677,12250,3.37,2014
96,0.280109,4348,2.68,0.233091,9620,3.16,2014
97,0.299013,3130,2.53,0.251082,7378,2.96,2014
98,0.316578,2194,2.39,0.268304,5525,2.79,2014
99,0.332406,1500,2.27,0.284403,4043,2.63,2014
100,0.349027,1001,2.15,0.301467,2893,2.48,2014
101,0.366478,652,2.04,0.319555,2021,2.33,2014
102,0.384802,413,1.93,0.338728,1375,2.19,2014
103,0.404042,254,1.83,0.359052,909,2.06,2014
104,0.424244,151,1.73,0.380595,583,1.93,2014
105,0.445456,87,1.63,0.403431,361,1.81,2014
106,0.467729,48,1.54,0.427637,215,1.69,2014
107,0.491116,26,1.45,0.453295,123,1.58,2014
108,0.515671,13,1.36,0.480492,67,1.47,2014
109,0.541455,6,1.28,0.509322,35,1.37,2014
110,0.568528,3,1.2,0.539881,17,1.27,2014
111,0.596954,1,1.13,0.572274,8,1.18,2014
112,0.626802,1,1.05,0.606611,3,1.09,2014
113,0.658142,0,0.98,0.643007,1,1.01,2014
114,0.691049,0,0.92,0.681588,0,0.93,2014
115,0.725602,0,0.86,0.722483,0,0.86,2014
116,0.761882,0,0.79,0.761882,0,0.79,2014
117,0.799976,0,0.74,0.799976,0,0.74,2014
118,0.839975,0,0.68,0.839975,0,0.68,2014
119,0.881973,0,0.63,0.881973,0,0.63,2014
