exact_age,male_death_probability,male_number_of_lives,male_life_expectancy,female_death_probability,female_number_of_lives,female_life_expectancy,year
0,0.006322,100000,76.33,0.005313,100000,81.11,2014
1,0.000396,99368,75.81,0.000346,99469,80.54,2014
2,0.000282,99328,74.84,0.000221,99434,79.57,2014
3,0.000212,99300,73.86,0.000162,99412,78.59,2014
4,0.000186,99279,72.88,0.000131,99396,77.6,2014
5,0.000162,99261,71.89,0.000116,99383,76.61,2014
6,0.000144,99245,70.9,0.000106,99372,75.62,2014
7,0.000129,99231,69.91,0.000098,99361,74.63,2014
8,0.000114,99218,68.92,0.000091,99351,73.64,2014
9,0.0001,99206,67.93,0.000086,99342,72.64,2014
10,0.000093,99197,66.94,0.000084,99334,71.65,2014
11,0.000101,99187,65.94,0.000087,99325,70.66,2014
12,0.000136,99177,64.95,0.0001,99317,69.66,2014
13,0.000205,99164,63.96,0.000124,99307,68.67,2014
14,0.000299,99144,62.97,0.000157,99294,67.68,2014
15,0.000401,99114,61.99,0.000194,99279,66.69,2014
16,0.000505,99074,61.02,0.000232,99260,65.7,2014
17,0.00062,99024,60.05,0.000269,99237,64.72,2014
18,0.000747,98963,59.08,0.000304,99210,63.73,2014
19,0.000879,98889,58.13,0.000338,99180,62.75,2014
20,0.001019,98802,57.18,0.000373,99146,61.77,2014
21,0.001151,98701,56.24,0.000409,99109,60.8,2014
22,0.001252,98588,55.3,0.000442,99069,59.82,2014
23,0.001309,98464,54.37,0.000471,99025,58.85,2014
24,0.001335,98335,53.44,0.000497,98978,57.87,2014
25,0.001349,98204,52.51,0.000524,98929,56.9,2014
26,0.001369,98072,51.58,0.000553,98877,55.93,2014
27,0.001391,97937,50.65,0.000582,98822,54.96,2014
28,0.001422,97801,49.72,0.000611,98765,53.99,2014
29,0.001459,97662,48.79,0.000641,98705,53.03,2014
30,0.001498,97520,47.86,0.000673,98641,52.06,2014
31,0.001536,97373,46.93,0.00071,98575,51.1,2014
32,0.001576,97224,46,0.000753,98505,50.13,2014
33,0.001616,97071,45.07,0.000805,98431,49.17,2014
34,0.001661,96914,44.15,0.000864,98351,48.21,2014
35,0.001716,96753,43.22,0.000932,98266,47.25,2014
36,0.001782,96587,42.29,0.001005,98175,46.29,2014
37,0.001854,96415,41.37,0.001082,98076,45.34,2014
38,0.001931,96236,40.44,0.00116,97970,44.39,2014
39,0.002018,96050,39.52,0.001243,97856,43.44,2014
40,0.002123,95856,38.6,0.001336,97735,42.49,2014
41,0.002252,95653,37.68,0.001442,97604,41.55,2014
42,0.002413,95437,36.76,0.001562,97463,40.61,2014
43,0.002611,95207,35.85,0.001698,97311,39.67,2014
44,0.002845,94958,34.95,0.001849,97146,38.74,2014
45,0.003109,94688,34.04,0.002014,96966,37.81,2014
46,0.003402,94394,33.15,0.002195,96771,36.88,2014
47,0.003736,94073,32.26,0.002402,96559,35.96,2014
48,0.004114,93721,31.38,0.002639,96327,35.05,2014
49,0.004533,93336,30.51,0.002903,96072,34.14,2014
50,0.004987,92913,29.64,0.003189,95794,33.24,2014
51,0.005473,92449,28.79,0.003488,95488,32.34,2014
52,0.005997,91943,27.94,0.003795,95155,31.45,2014
53,0.00656,91392,27.11,0.004105,94794,30.57,2014
54,0.007159,90792,26.29,0.004423,94405,29.7,2014
55,0.007803,90142,25.47,0.004775,93987,28.83,2014
56,0.00848,89439,24.67,0.005153,93539,27.96,2014
57,0.00917,88681,23.87,0.005528,93057,27.1,2014
