exact_age,male_death_probability,male_number_of_lives,male_life_expectancy,female_death_probability,female_number_of_lives,female_life_expectancy,year
57,0.009144,88396,23.83,0.005583,92939,27.02,2015
58,0.009865,87588,23.05,0.005952,92420,26.17,2015
59,0.010622,86724,22.27,0.006325,91870,25.32,2015
60,0.011458,85802,21.51,0.006749,91289,24.48,2015
61,0.01235,84819,20.75,0.007238,90673,23.64,2015
62,0.013235,83772,20,0.007776,90017,22.81,2015
63,0.014097,82663,19.27,0.008368,89317,21.99,2015
64,0.014979,81498,18.53,0.009032,88569,21.17,2015
65,0.015967,80277,17.81,0.009794,87769,20.36,2015
66,0.017109,78995,17.09,0.010673,86910,19.55,2015
67,0.018392,77644,16.38,0.011676,85982,18.76,2015
68,0.019836,76216,15.68,0.012815,84978,17.98,2015
69,0.021465,74704,14.98,0.014105,83889,17.2,2015
70,0.023351,73100,14.3,0.015616,82706,16.44,2015
71,0.025482,71393,13.63,0.017318,81414,15.69,2015
72,0.027794,69574,12.97,0.019118,80004,14.96,2015
73,0.030282,67640,12.33,0.020996,78475,14.24,2015
74,0.033022,65592,11.7,0.023033,76827,13.54,2015
75,0.036201,63426,11.08,0.025413,75058,12.85,2015
76,0.039858,61130,10.48,0.028197,73150,12.17,2015
77,0.043891,58693,9.89,0.031313,71088,11.51,2015
78,0.048311,56117,9.33,0.034782,68862,10.86,2015
79,0.053228,53406,8.77,0.038689,66466,10.24,2015
80,0.058897,50564,8.24,0.043258,63895,9.63,2015
81,0.065365,47585,7.72,0.04849,61131,9.04,2015
82,0.072491,44475,7.23,0.054223,58167,8.48,2015
83,0.080288,41251,6.75,0.060446,55013,7.93,2015
84,0.088916,37939,6.3,0.067338,51688,7.41,2015
85,0.098576,34566,5.87,0.075133,48207,6.91,2015
86,0.109438,31158,5.45,0.084033,44585,6.43,2015
87,0.121619,27748,5.06,0.094177,40838,5.98,2015
88,0.135176,24374,4.69,0.105633,36992,5.54,2015
89,0.150109,21079,4.35,0.118407,33085,5.14,2015
90,0.166397,17915,4.03,0.132476,29167,4.76,2015
91,0.183997,14934,3.73,0.147801,25303,4.41,2015
92,0.202855,12186,3.46,0.164331,21563,4.09,2015
93,0.222911,9714,3.21,0.182012,18020,3.8,2015
94,0.244094,7549,2.99,0.200783,14740,3.54,2015
95,0.265091,5706,2.8,0.219758,11781,3.3,2015
96,0.285508,4193,2.63,0.23863,9192,3.09,2015
97,0.304926,2996,2.48,0.257065,6998,2.9,2015
98,0.322919,2083,2.34,0.274706,5199,2.73,2015
99,0.339065,1410,2.22,0.291189,3771,2.57,2015
100,0.356018,932,2.11,0.30866,2673,2.42,2015
101,0.373819,600,2,0.32718,1848,2.27,2015
102,0.39251,376,1.89,0.34681,1243,2.14,2015
103,0.412135,228,1.79,0.367619,812,2,2015
104,0.432742,134,1.69,0.389676,514,1.88,2015
105,0.454379,76,1.59,0.413057,313,1.76,2015
106,0.477098,42,1.5,0.43784,184,1.64,2015
107,0.500953,22,1.41,0.464111,103,1.53,2015
108,0.526,11,1.33,0.491957,55,1.43,2015
109,0.5523,5,1.25,0.521475,28,1.33,2015
110,0.579915,2,1.17,0.552763,13,1.24,2015
111,0.608911,1,1.1,0.585929,6,1.15,2015
112,0.639357,0,1.03,0.621085,2,1.06,2015
113,0.671325,0,0.96,0.65835,1,0.98,2015
114,0.704891,0,0.89,0.697851,0,0.9,2015
115,0.740135,0,0.83,0.739722,0,0.83,2015
116,0.777142,0,0.77,0.777142,0,0.77,2015
117,0.815999,0,0.71,0.815999,0,0.71,2015
118,0.856799,0,0.66,0.856799,0,0.66,2015
119,0.899639,0,0.61,0.899639,0,0.61,2015
