exact_age,male_death_probability,male_number_of_lives,male_life_expectancy,female_death_probability,female_number_of_lives,female_life_expectancy,year
0,0.006383,100000,76.15,0.005374,100000,80.97,2015
1,0.000453,99362,75.63,0.000353,99463,80.41,2015
2,0.000282,99317,74.67,0.000231,99427,79.44,2015
3,0.00023,99289,73.69,0.000165,99405,78.45,2015
4,0.000169,99266,72.71,0.000129,99388,77.47,2015
5,0.000155,99249,71.72,0.000116,99375,76.48,2015
6,0.000145,99234,70.73,0.000107,99364,75.48,2015
7,0.000135,99219,69.74,0.000101,99353,74.49,2015
8,0.00012,99206,68.75,0.000096,99343,73.5,2015
9,0.000105,99194,67.76,0.000092,99334,72.51,2015
10,0.000094,99184,66.76,0.000091,99325,71.51,2015
11,0.000099,99174,65.77,0.000096,99316,70.52,2015
12,0.000134,99164,64.78,0.000111,99306,69.53,2015
13,0.000207,99151,63.79,0.000138,99295,68.53,2015
14,0.000309,99131,62.8,0.000174,99281,67.54,2015
15,0.000419,99100,61.82,0.000214,99264,66.56,2015
16,0.00053,99059,60.84,0.000254,99243,65.57,2015
17,0.000655,99006,59.88,0.000294,99217,64.59,2015
18,0.000791,98941,58.91,0.00033,99188,63.61,2015
19,0.000934,98863,57.96,0.000364,99156,62.63,2015
20,0.001085,98771,57.01,0.000399,99120,61.65,2015
21,0.001228,98663,56.08,0.000436,99080,60.67,2015
22,0.001339,98542,55.14,0.000469,99037,59.7,2015
23,0.001403,98410,54.22,0.000497,98990,58.73,2015
24,0.001433,98272,53.29,0.000522,98941,57.76,2015
25,0.001451,98131,52.37,0.000546,98890,56.79,2015
26,0.001475,97989,51.44,0.000572,98836,55.82,2015
27,0.001502,97844,50.52,0.000604,98779,54.85,2015
28,0.001538,97698,49.59,0.000644,98719,53.88,2015
29,0.001581,97547,48.67,0.00069,98656,52.92,2015
30,0.001626,97393,47.75,0.00074,98588,51.95,2015
31,0.001669,97235,46.82,0.000792,98515,50.99,2015
32,0.001712,97072,45.9,0.000841,98437,50.03,2015
33,0.001755,96906,44.98,0.000886,98354,49.07,2015
34,0.0018,96736,44.06,0.000929,98267,48.11,2015
35,0.001855,96562,43.14,0.000977,98175,47.16,2015
36,0.00192,96383,42.22,0.001034,98080,46.2,2015
37,0.001988,96198,41.3,0.001098,97978,45.25,2015
38,0.00206,96006,40.38,0.001171,97870,44.3,2015
39,0.002141,95809,39.46,0.001253,97756,43.35,2015
40,0.00224,95603,38.54,0.001347,97633,42.41,2015
41,0.002362,95389,37.63,0.001452,97502,41.46,2015
42,0.002509,95164,36.72,0.001571,97360,40.52,2015
43,0.002684,94925,35.81,0.001706,97207,39.59,2015
44,0.00289,94671,34.9,0.001857,97041,38.65,2015
45,0.003121,94397,34,0.002022,96861,37.72,2015
46,0.003386,94102,33.11,0.002204,96665,36.8,2015
47,0.003707,93784,32.22,0.002411,96452,35.88,2015
48,0.004091,93436,31.34,0.002648,96220,34.96,2015
49,0.004531,93054,30.46,0.00291,95965,34.06,2015
50,0.005013,92632,29.6,0.003193,95686,33.15,2015
51,0.005524,92168,28.75,0.003491,95380,32.26,2015
52,0.006059,91659,27.9,0.003801,95047,31.37,2015
53,0.006611,91103,27.07,0.004119,94686,30.49,2015
54,0.007187,90501,26.25,0.004449,94296,29.61,2015
55,0.0078,89851,25.43,0.004813,93877,28.74,2015
56,0.008456,89150,24.63,0.005201,93425,27.88,2015
