exact_age,male_death_probability,male_number_of_lives,male_life_expectancy,female_death_probability,female_number_of_lives,female_life_expectancy,year
53,0.006363,90702,27.34,0.003853,94689,30.82,2019
54,0.006973,90125,26.51,0.004208,94324,29.93,2019
55,0.007629,89497,25.69,0.004591,93927,29.06,2019
56,0.008322,88814,24.89,0.004997,93496,28.19,2019
57,0.009049,88075,24.09,0.005426,93029,27.33,2019
58,0.009806,87278,23.31,0.005876,92524,26.48,2019
59,0.010595,86422,22.53,0.006348,91980,25.63,2019
60,0.011452,85506,21.77,0.006883,91396,24.79,2019
61,0.012358,84527,21.01,0.007457,90767,23.96,2019
62,0.013255,83482,20.27,0.00801,90090,23.14,2019
63,0.014126,82376,19.54,0.00852,89369,22.32,2019
64,0.015006,81212,18.81,0.009031,88607,21.51,2019
65,0.016001,79994,18.09,0.009617,87807,20.7,2019
66,0.017124,78714,17.37,0.010328,86963,19.89,2019
67,0.018298,77366,16.67,0.011167,86065,19.1,2019
68,0.019519,75950,15.97,0.012158,85103,18.31,2019
69,0.020847,74468,15.28,0.013312,84069,17.52,2019
70,0.022381,72915,14.59,0.014673,82950,16.75,2019
71,0.024185,71283,13.91,0.016221,81733,16,2019
72,0.026266,69559,13.25,0.017905,80407,15.25,2019
73,0.02866,67732,12.59,0.019714,78967,14.52,2019
74,0.031401,65791,11.95,0.021714,77410,13.8,2019
75,0.034618,63725,11.32,0.02408,75729,13.1,2019
76,0.038263,61519,10.71,0.026831,73906,12.41,2019
77,0.04219,59165,10.11,0.029855,71923,11.74,2019
78,0.046367,56669,9.54,0.033151,69776,11.08,2019
79,0.050948,54041,8.97,0.036829,67463,10.45,2019
80,0.056237,51288,8.43,0.041122,64978,9.83,2019
81,0.06236,48404,7.9,0.046102,62306,9.23,2019
82,0.069226,45385,7.39,0.051683,59434,8.65,2019
83,0.076884,42243,6.91,0.057896,56362,8.09,2019
84,0.085452,38996,6.44,0.064863,53099,7.56,2019
85,0.095062,35663,6,0.072731,49655,7.05,2019
86,0.105829,32273,5.57,0.081626,46043,6.56,2019
87,0.117838,28858,5.17,0.091644,42285,6.1,2019
88,0.131138,25457,4.8,0.10284,38410,5.67,2019
89,0.145751,22119,4.45,0.115236,34460,5.26,2019
90,0.161678,18895,4.12,0.128837,30489,4.88,2019
91,0.178905,15840,3.82,0.143633,26561,4.52,2019
92,0.197408,13006,3.54,0.159606,22746,4.2,2019
93,0.217149,10439,3.29,0.176731,19115,3.9,2019
94,0.23808,8172,3.06,0.194973,15737,3.63,2019
95,0.258821,6226,2.86,0.213413,12669,3.39,2019
96,0.278966,4615,2.69,0.231752,9965,3.17,2019
97,0.298092,3327,2.54,0.249663,7656,2.98,2019
98,0.315762,2336,2.4,0.266801,5744,2.81,2019
99,0.33155,1598,2.28,0.282809,4212,2.65,2019
100,0.348128,1068,2.16,0.299778,3021,2.49,2019
101,0.365534,696,2.05,0.317765,2115,2.34,2019
102,0.383811,442,1.94,0.33683,1443,2.2,2019
103,0.403001,272,1.83,0.35704,957,2.07,2019
104,0.423151,163,1.73,0.378463,615,1.94,2019
105,0.444309,94,1.63,0.40117,382,1.82,2019
106,0.466524,52,1.54,0.425241,229,1.7,2019
107,0.489851,28,1.45,0.450755,132,1.59,2019
108,0.514343,14,1.37,0.4778,72,1.48,2019
109,0.54006,7,1.28,0.506468,38,1.38,2019
110,0.567063,3,1.21,0.536857,19,1.28,2019
111,0.595417,1,1.13,0.569068,9,1.19,2019
112,0.625187,1,1.06,0.603212,4,1.1,2019
113,0.656447,0,0.99,0.639405,1,1.02,2019
114,0.689269,0,0.92,0.677769,1,0.94,2019
115,0.723732,0,0.86,0.718435,0,0.87,2019
116,0.759919,0,0.8,0.759919,0,0.8,2019
117,0.797915,0,0.74,0.797915,0,0.74,2019
118,0.837811,0,0.68,0.837811,0,0.68,2019
119,0.879701,0,0.63,0.879701,0,0.63,2019
