exact_age,male_death_probability,male_number_of_lives,male_life_expectancy,female_death_probability,female_number_of_lives,female_life_expectancy,year
90,0.177636,15051,3.84,0.138938,26608,4.62,2006
91,0.195594,12378,3.56,0.154348,22911,4.28,2006
92,0.214792,9957,3.3,0.170963,19375,3.98,2006
93,0.235163,7818,3.07,0.188761,16062,3.69,2006
94,0.256634,5979,2.86,0.207711,13030,3.44,2006
95,0.277945,4445,2.67,0.226885,10324,3.2,2006
96,0.298731,3209,2.51,0.245997,7982,3,2006
97,0.318602,2251,2.36,0.264731,6018,2.81,2006
98,0.337164,1534,2.24,0.282754,4425,2.65,2006
99,0.354023,1017,2.12,0.299719,3174,2.49,2006
100,0.371724,657,2.01,0.317702,2223,2.35,2006
101,0.39031,413,1.9,0.336764,1516,2.2,2006
102,0.409825,252,1.8,0.35697,1006,2.07,2006
103,0.430317,148,1.7,0.378389,647,1.94,2006
104,0.451833,85,1.6,0.401092,402,1.82,2006
105,0.474424,46,1.51,0.425157,241,1.7,2006
106,0.498145,24,1.42,0.450667,138,1.59,2006
107,0.523053,12,1.34,0.477707,76,1.48,2006
108,0.549205,6,1.26,0.506369,40,1.38,2006
109,0.576666,3,1.18,0.536751,20,1.28,2006
110,0.605499,1,1.11,0.568956,9,1.19,2006
111,0.635774,0,1.03,0.603094,4,1.1,2006
112,0.667563,0,0.97,0.639279,2,1.02,2006
113,0.700941,0,0.9,0.677636,1,0.94,2006
114,0.735988,0,0.84,0.718294,0,0.86,2006
115,0.772787,0,0.78,0.761392,0,0.79,2006
116,0.811426,0,0.72,0.807076,0,0.72,2006
117,0.851998,0,0.66,0.851998,0,0.66,2006
118,0.894598,0,0.61,0.894598,0,0.61,2006
119,0.939328,0,0.56,0.939328,0,0.56,2006
