exact_age,male_death_probability,male_number_of_lives,male_life_expectancy,female_death_probability,female_number_of_lives,female_life_expectancy,year
0,0.007349,100000,75.1,0.006055,100000,80.21,2006
1,0.000465,99265,74.66,0.000433,99395,79.7,2006
2,0.000321,99219,73.69,0.000276,99351,78.73,2006
3,0.000244,99187,72.72,0.000184,99324,77.75,2006
4,0.000194,99163,71.74,0.00016,99306,76.77,2006
5,0.000181,99144,70.75,0.000144,99290,75.78,2006
6,0.000174,99126,69.76,0.000133,99276,74.79,2006
7,0.000163,99108,68.77,0.000124,99262,73.8,2006
8,0.000142,99092,67.79,0.000113,99250,72.81,2006
9,0.000112,99078,66.79,0.000102,99239,71.82,2006
10,0.000085,99067,65.8,0.000093,99229,70.82,2006
11,0.000085,99059,64.81,0.000094,99220,69.83,2006
12,0.000135,99050,63.81,0.000113,99210,68.84,2006
13,0.000251,99037,62.82,0.000153,99199,67.85,2006
14,0.000416,99012,61.84,0.00021,99184,66.86,2006
15,0.000595,98971,60.86,0.000274,99163,65.87,2006
16,0.000765,98912,59.9,0.000335,99136,64.89,2006
17,0.000928,98836,58.94,0.000385,99103,63.91,2006
18,0.001077,98745,58,0.000418,99064,62.93,2006
19,0.001208,98638,57.06,0.000438,99023,61.96,2006
20,0.001343,98519,56.13,0.000457,98980,60.99,2006
21,0.00147,98387,55.2,0.000479,98934,60.01,2006
22,0.001549,98242,54.28,0.000497,98887,59.04,2006
23,0.001567,98090,53.37,0.000511,98838,58.07,2006
24,0.00154,97936,52.45,0.000523,98787,57.1,2006
25,0.001496,97785,51.53,0.000536,98736,56.13,2006
26,0.001459,97639,50.61,0.00055,98683,55.16,2006
27,0.001432,97497,49.68,0.000567,98629,54.19,2006
28,0.001426,97357,48.75,0.000588,98573,53.22,2006
29,0.001436,97218,47.82,0.000612,98515,52.25,2006
30,0.001454,97079,46.89,0.000641,98454,51.28,2006
31,0.001473,96938,45.96,0.000677,98391,50.32,2006
32,0.001504,96795,45.02,0.00072,98325,49.35,2006
33,0.001546,96649,44.09,0.000772,98254,48.39,2006
34,0.001603,96500,43.16,0.000833,98178,47.42,2006
35,0.001673,96345,42.23,0.000903,98096,46.46,2006
36,0.001761,96184,41.3,0.000982,98008,45.5,2006
37,0.001876,96014,40.37,0.001073,97911,44.55,2006
38,0.002021,95834,39.44,0.001179,97806,43.59,2006
39,0.002193,95641,38.52,0.001299,97691,42.65,2006
40,0.002391,95431,37.61,0.00143,97564,41.7,2006
41,0.002607,95203,36.69,0.00157,97425,40.76,2006
42,0.002842,94955,35.79,0.00172,97272,39.82,2006
43,0.003091,94685,34.89,0.001878,97104,38.89,2006
44,0.00336,94392,34,0.002046,96922,37.96,2006
45,0.003646,94075,33.11,0.002229,96724,37.04,2006
46,0.00396,93732,32.23,0.002423,96508,36.12,2006
47,0.004316,93361,31.35,0.002622,96274,35.21,2006
48,0.004721,92958,30.49,0.002826,96022,34.3,2006
49,0.005166,92519,29.63,0.003038,95750,33.39,2006
50,0.00566,92041,28.78,0.003275,95460,32.49,2006
51,0.006171,91520,27.94,0.003535,95147,31.6,2006
52,0.006653,90955,27.11,0.003798,94811,30.71,2006
53,0.007085,90350,26.29,0.004061,94450,29.83,2006
54,0.007498,89710,25.48,0.004338,94067,28.94,2006
55,0.007936,89037,24.66,0.00464,93659,28.07,2006
56,0.008451,88331,23.86,0.004993,93224,27.2,2006
57,0.009063,87584,23.06,0.005419,92759,26.33,2006
58,0.009797,86790,22.26,0.005936,92256,25.47,2006
59,0.010643,85940,21.48,0.006534,91708,24.62,2006
60,0.011599,85026,20.7,0.007219,91109,23.78,2006
61,0.012624,84039,19.94,0.007956,90452,22.95,2006
62,0.013684,82978,19.19,0.008698,89732,22.13,2006
63,0.014759,81843,18.45,0.009424,88951,21.32,2006
64,0.01589,80635,17.72,0.010174,88113,20.52,2006
65,0.017161,79354,17,0.011009,87217,19.72,2006
66,0.01861,77992,16.28,0.011986,86257,18.94,2006
67,0.020216,76540,15.58,0.013117,85223,18.16,2006
68,0.021992,74993,14.89,0.01443,84105,17.4,2006
69,0.023966,73344,14.22,0.015924,82891,16.64,2006
70,0.026212,71586,13.55,0.017646,81571,15.9,2006
71,0.028725,69710,12.91,0.019544,80132,15.18,2006
72,0.03145,67707,12.27,0.021523,78566,14.47,2006
73,0.034385,65578,11.65,0.023551,76875,13.78,2006
74,0.037599,63323,11.05,0.025717,75064,13.1,2006
75,0.041267,60942,10.46,0.028247,73134,12.43,2006
76,0.045411,58427,9.89,0.031187,71068,11.78,2006
77,0.049921,55774,9.34,0.034405,68852,11.14,2006
78,0.054797,52990,8.8,0.037905,66483,10.52,2006
79,0.060154,50086,8.29,0.041808,63963,9.92,2006
80,0.066266,47073,7.78,0.046337,61289,9.33,2006
81,0.073175,43954,7.3,0.051587,58449,8.76,2006
82,0.080723,40737,6.84,0.057503,55433,8.21,2006
83,0.088916,37449,6.39,0.064135,52246,7.68,2006
84,0.097922,34119,5.97,0.071587,48895,7.17,2006
85,0.107951,30778,5.56,0.079984,45395,6.68,2006
86,0.119182,27456,5.18,0.089431,41764,6.22,2006
87,0.131736,24183,4.81,0.100009,38029,5.78,2006
88,0.145669,20998,4.46,0.111773,34226,5.37,2006
89,0.160978,17939,4.14,0.124745,30400,4.98,2006
