exact_age,male_death_probability,male_number_of_lives,male_life_expectancy,female_death_probability,female_number_of_lives,female_life_expectancy,year
0,0.006364,100000,76.04,0.005331,100000,80.99,2016
1,0.000432,99364,75.52,0.000359,99467,80.43,2016
2,0.000284,99321,74.55,0.000247,99431,79.46,2016
3,0.000234,99292,73.58,0.000169,99407,78.48,2016
4,0.00017,99269,72.59,0.000155,99390,77.49,2016
5,0.000157,99252,71.6,0.000135,99375,76.5,2016
6,0.000147,99237,70.62,0.00012,99361,75.51,2016
7,0.000136,99222,69.63,0.000109,99349,74.52,2016
8,0.00012,99209,68.64,0.0001,99338,73.53,2016
9,0.000101,99197,67.64,0.000094,99328,72.54,2016
10,0.000088,99187,66.65,0.000093,99319,71.54,2016
11,0.000093,99178,65.66,0.000098,99310,70.55,2016
12,0.00013,99169,64.66,0.000113,99300,69.56,2016
13,0.000209,99156,63.67,0.00014,99289,68.56,2016
14,0.00032,99135,62.68,0.000176,99275,67.57,2016
15,0.000441,99103,61.7,0.000216,99258,66.58,2016
16,0.000564,99060,60.73,0.000259,99236,65.6,2016
17,0.000701,99004,59.76,0.000301,99211,64.62,2016
18,0.000851,98934,58.81,0.000342,99181,63.63,2016
19,0.001007,98850,57.86,0.000381,99147,62.66,2016
20,0.001173,98751,56.91,0.000423,99109,61.68,2016
21,0.001331,98635,55.98,0.000466,99067,60.71,2016
22,0.001455,98504,55.05,0.000505,99021,59.73,2016
23,0.001531,98360,54.13,0.000539,98971,58.76,2016
24,0.001572,98210,53.22,0.000568,98918,57.8,2016
25,0.001602,98055,52.3,0.000598,98861,56.83,2016
26,0.001635,97898,51.38,0.00063,98802,55.86,2016
27,0.001669,97738,50.47,0.000666,98740,54.9,2016
28,0.001708,97575,49.55,0.000707,98674,53.93,2016
29,0.001752,97408,48.63,0.000753,98605,52.97,2016
30,0.001794,97238,47.72,0.000803,98530,52.01,2016
31,0.001835,97063,46.8,0.000853,98451,51.05,2016
32,0.00188,96885,45.89,0.000905,98367,50.09,2016
33,0.00193,96703,44.97,0.000956,98278,49.14,2016
34,0.001986,96516,44.06,0.001009,98184,48.19,2016
35,0.002052,96325,43.15,0.001069,98085,47.23,2016
36,0.002125,96127,42.23,0.001134,97980,46.28,2016
37,0.002196,95923,41.32,0.001199,97869,45.34,2016
38,0.002264,95712,40.41,0.001263,97752,44.39,2016
39,0.002334,95495,39.5,0.001329,97628,43.45,2016
40,0.00242,95272,38.59,0.001403,97499,42.5,2016
41,0.00253,95042,37.69,0.001491,97362,41.56,2016
42,0.002663,94801,36.78,0.001597,97217,40.62,2016
43,0.002823,94549,35.88,0.001724,97061,39.69,2016
44,0.003013,94282,34.98,0.001871,96894,38.76,2016
45,0.003229,93998,34.08,0.002033,96713,37.83,2016
46,0.003479,93694,33.19,0.002212,96516,36.9,2016
47,0.00378,93369,32.3,0.002417,96303,35.98,2016
48,0.00414,93016,31.43,0.002651,96070,35.07,2016
49,0.004553,92631,30.55,0.002911,95815,34.16,2016
50,0.005007,92209,29.69,0.003193,95536,33.26,2016
51,0.005493,91747,28.84,0.003492,95231,32.36,2016
52,0.006016,91243,27.99,0.003803,94899,31.48,2016
53,0.006575,90694,27.16,0.004126,94538,30.59,2016
54,0.00717,90098,26.34,0.004462,94148,29.72,2016
55,0.007805,89452,25.52,0.004829,93728,28.85,2016
56,0.008477,88754,24.72,0.00522,93275,27.99,2016
57,0.009181,88001,23.93,0.005612,92788,27.13,2016
58,0.009916,87193,23.15,0.006,92267,26.28,2016
59,0.010683,86329,22.37,0.006397,91714,25.44,2016
60,0.011533,85407,21.61,0.006848,91127,24.6,2016
61,0.012434,84422,20.85,0.007358,90503,23.76,2016
62,0.013302,83372,20.11,0.007893,89837,22.94,2016
63,0.014109,82263,19.37,0.008453,89128,22.12,2016
64,0.014913,81102,18.65,0.009063,88375,21.3,2016
65,0.015808,79893,17.92,0.009761,87574,20.49,2016
66,0.016868,78630,17.2,0.010581,86719,19.69,2016
67,0.018101,77303,16.49,0.011535,85801,18.89,2016
68,0.019544,75904,15.78,0.012646,84811,18.11,2016
69,0.021206,74421,15.09,0.013919,83739,17.33,2016
70,0.023122,72843,14.4,0.015413,82573,16.57,2016
71,0.025265,71158,13.73,0.017089,81301,15.82,2016
72,0.027585,69360,13.07,0.018861,79911,15.09,2016
73,0.03007,67447,12.43,0.020705,78404,14.37,2016
74,0.032794,65419,11.8,0.022703,76781,13.66,2016
75,0.035963,63274,11.18,0.025035,75038,12.97,2016
76,0.039588,60998,10.58,0.027766,73159,12.29,2016
77,0.043511,58583,10,0.030822,71128,11.62,2016
78,0.04772,56034,9.43,0.034227,68936,10.98,2016
79,0.052358,53360,8.88,0.038062,66576,10.35,2016
80,0.057712,50567,8.34,0.042539,64042,9.74,2016
81,0.063886,47648,7.82,0.047663,61318,9.15,2016
82,0.070782,44604,7.32,0.053278,58395,8.58,2016
83,0.078442,41447,6.84,0.059378,55284,8.04,2016
84,0.086997,38196,6.38,0.066132,52001,7.51,2016
85,0.096603,34873,5.94,0.073763,48562,7.01,2016
86,0.10739,31504,5.52,0.082465,44980,6.53,2016
87,0.119456,28121,5.12,0.09237,41271,6.07,2016
88,0.132853,24762,4.75,0.103546,37459,5.64,2016
89,0.147599,21472,4.4,0.115997,33580,5.23,2016
90,0.163689,18303,4.08,0.129706,29685,4.85,2016
91,0.181104,15307,3.78,0.144636,25835,4.5,2016
92,0.19981,12535,3.5,0.160741,22098,4.18,2016
93,0.219765,10030,3.25,0.177971,18546,3.88,2016
94,0.240913,7826,3.03,0.19627,15245,3.61,2016
95,0.261868,5941,2.83,0.214769,12253,3.37,2016
96,0.282225,4385,2.66,0.233174,9622,3.16,2016
97,0.301555,3147,2.51,0.251158,7378,2.96,2016
98,0.319421,2198,2.37,0.268378,5525,2.79,2016
99,0.335392,1496,2.25,0.284481,4042,2.63,2016
100,0.352162,994,2.13,0.30155,2892,2.48,2016
101,0.36977,644,2.02,0.319643,2020,2.33,2016
102,0.388259,406,1.91,0.338821,1374,2.19,2016
103,0.407672,248,1.81,0.359151,909,2.06,2016
104,0.428055,147,1.71,0.3807,582,1.93,2016
105,0.449458,84,1.61,0.403542,361,1.81,2016
106,0.471931,46,1.52,0.427754,215,1.69,2016
107,0.495527,24,1.43,0.45342,123,1.58,2016
108,0.520304,12,1.35,0.480625,67,1.47,2016
109,0.546319,6,1.27,0.509462,35,1.37,2016
110,0.573635,3,1.19,0.54003,17,1.27,2016
111,0.602317,1,1.11,0.572432,8,1.18,2016
112,0.632432,0,1.04,0.606778,3,1.09,2016
113,0.664054,0,0.97,0.643184,1,1.01,2016
114,0.697257,0,0.91,0.681775,0,0.93,2016
115,0.732119,0,0.84,0.722682,0,0.86,2016
116,0.768725,0,0.78,0.766043,0,0.79,2016
117,0.807162,0,0.73,0.807162,0,0.73,2016
118,0.84752,0,0.67,0.84752,0,0.67,2016
119,0.889896,0,0.62,0.889896,0,0.62,2016
