exact_age,male_death_probability,male_number_of_lives,male_life_expectancy,female_death_probability,female_number_of_lives,female_life_expectancy,year
0,0.007474,100000,74.83,0.006091,100000,79.96,2004
1,0.000513,99253,74.4,0.000461,99391,79.45,2004
2,0.000328,99202,73.43,0.000268,99345,78.49,2004
3,0.000247,99169,72.46,0.000195,99318,77.51,2004
4,0.000205,99145,71.47,0.000166,99299,76.52,2004
5,0.000189,99124,70.49,0.000148,99283,75.54,2004
6,0.000182,99106,69.5,0.000138,99268,74.55,2004
7,0.000172,99088,68.52,0.00013,99254,73.56,2004
8,0.000153,99071,67.53,0.000122,99241,72.57,2004
9,0.000126,99055,66.54,0.000113,99229,71.58,2004
10,0.000102,99043,65.55,0.000107,99218,70.58,2004
11,0.000104,99033,64.55,0.00011,99207,69.59,2004
12,0.000156,99022,63.56,0.000133,99196,68.6,2004
13,0.000273,99007,62.57,0.000178,99183,67.61,2004
14,0.000435,98980,61.59,0.000238,99166,66.62,2004
15,0.000613,98937,60.61,0.000308,99142,65.64,2004
16,0.000782,98876,59.65,0.000372,99111,64.66,2004
17,0.000935,98799,58.7,0.000421,99075,63.68,2004
18,0.001061,98707,57.75,0.000445,99033,62.71,2004
19,0.001162,98602,56.81,0.000451,98989,61.74,2004
20,0.001264,98487,55.88,0.000454,98944,60.76,2004
21,0.001361,98363,54.95,0.000462,98899,59.79,2004
22,0.001422,98229,54.02,0.000469,98854,58.82,2004
23,0.001438,98089,53.1,0.00048,98807,57.84,2004
24,0.00142,97948,52.17,0.000493,98760,56.87,2004
25,0.001392,97809,51.25,0.000507,98711,55.9,2004
26,0.001368,97673,50.32,0.000523,98661,54.93,2004
27,0.001349,97539,49.38,0.000542,98609,53.96,2004
28,0.001341,97408,48.45,0.000564,98556,52.99,2004
29,0.001344,97277,47.52,0.00059,98500,52.02,2004
30,0.001352,97146,46.58,0.000621,98442,51.05,2004
31,0.001367,97015,45.64,0.000659,98381,50.08,2004
32,0.001404,96882,44.7,0.000705,98316,49.11,2004
33,0.001467,96746,43.76,0.000761,98247,48.14,2004
34,0.001555,96604,42.83,0.000825,98172,47.18,2004
35,0.001662,96454,41.89,0.000898,98091,46.22,2004
36,0.001782,96294,40.96,0.000979,98003,45.26,2004
37,0.001918,96122,40.04,0.001074,97907,44.3,2004
38,0.002068,95938,39.11,0.001183,97802,43.35,2004
39,0.002235,95740,38.19,0.001306,97686,42.4,2004
40,0.00242,95526,37.28,0.001439,97559,41.46,2004
41,0.002629,95294,36.36,0.001581,97418,40.52,2004
42,0.002863,95044,35.46,0.001732,97264,39.58,2004
43,0.003127,94772,34.56,0.001891,97096,38.65,2004
44,0.003418,94475,33.67,0.002059,96912,37.72,2004
45,0.003732,94153,32.78,0.002244,96713,36.8,2004
46,0.004067,93801,31.9,0.002441,96496,35.88,2004
47,0.004424,93420,31.03,0.002634,96260,34.96,2004
48,0.004805,93006,30.17,0.002815,96007,34.06,2004
49,0.005208,92560,29.31,0.002997,95736,33.15,2004
50,0.005657,92077,28.46,0.003198,95449,32.25,2004
51,0.006134,91557,27.62,0.003431,95144,31.35,2004
52,0.006595,90995,26.79,0.003696,94818,30.46,2004
53,0.007027,90395,25.96,0.003998,94467,29.57,2004
54,0.007457,89760,25.14,0.004341,94090,28.68,2004
55,0.007921,89090,24.33,0.004722,93681,27.81,2004
56,0.008467,88385,23.52,0.005148,93239,26.94,2004
57,0.009121,87636,22.71,0.005627,92759,26.07,2004
58,0.009912,86837,21.92,0.006166,92237,25.22,2004
59,0.010827,85976,21.13,0.006765,91668,24.37,2004
60,0.011858,85045,20.36,0.007445,91048,23.53,2004
61,0.012966,84037,19.6,0.008187,90370,22.71,2004
62,0.014123,82947,18.85,0.008959,89630,21.89,2004
63,0.015312,81776,18.11,0.009747,88827,21.08,2004
64,0.016567,80524,17.38,0.010582,87962,20.29,2004
65,0.017976,79190,16.67,0.011511,87031,19.5,2004
66,0.019564,77766,15.96,0.012572,86029,18.72,2004
67,0.021291,76245,15.27,0.013772,84947,17.95,2004
68,0.023162,74621,14.59,0.01513,83777,17.19,2004
69,0.025217,72893,13.93,0.016651,82510,16.45,2004
70,0.027533,71055,13.27,0.018406,81136,15.72,2004
71,0.030131,69098,12.64,0.020342,79643,15.01,2004
72,0.032978,67016,12.01,0.022346,78023,14.31,2004
73,0.036086,64806,11.41,0.024382,76279,13.62,2004
74,0.039506,62468,10.81,0.026551,74419,12.95,2004
75,0.043415,60000,10.24,0.029073,72443,12.29,2004
76,0.047789,57395,9.68,0.032023,70337,11.64,2004
77,0.052464,54652,9.14,0.035307,68085,11.01,2004
78,0.057413,51785,8.62,0.038949,65681,10.4,2004
79,0.062789,48812,8.11,0.043047,63123,9.8,2004
80,0.068836,45747,7.62,0.047769,60405,9.22,2004
81,0.075724,42598,7.15,0.05319,57520,8.65,2004
82,0.083466,39372,6.7,0.059279,54460,8.11,2004
83,0.092144,36086,6.26,0.06608,51232,7.59,2004
84,0.101803,32761,5.84,0.073685,47847,7.09,2004
85,0.112468,29426,5.45,0.082199,44321,6.62,2004
86,0.124164,26116,5.08,0.091712,40678,6.17,2004
87,0.136917,22874,4.73,0.102294,36947,5.74,2004
88,0.150754,19742,4.4,0.11399,33168,5.33,2004
89,0.165704,16766,4.09,0.12682,29387,4.96,2004
90,0.181789,13988,3.8,0.140793,25660,4.6,2004
91,0.199019,11445,3.54,0.155906,22047,4.28,2004
92,0.217396,9167,3.29,0.172147,18610,3.97,2004
93,0.236906,7174,3.06,0.189496,15406,3.7,2004
94,0.257525,5475,2.86,0.207925,12487,3.44,2004
95,0.278031,4065,2.68,0.226597,9891,3.22,2004
96,0.298111,2935,2.52,0.245258,7649,3.01,2004
97,0.317432,2060,2.38,0.263628,5773,2.83,2004
98,0.335655,1406,2.25,0.28141,4251,2.66,2004
99,0.352438,934,2.13,0.298294,3055,2.5,2004
100,0.37006,605,2.02,0.316192,2144,2.36,2004
101,0.388563,381,1.91,0.335163,1466,2.22,2004
102,0.407991,233,1.81,0.355273,975,2.08,2004
103,0.42839,138,1.71,0.37659,628,1.95,2004
104,0.44981,79,1.61,0.399185,392,1.83,2004
105,0.4723,43,1.52,0.423136,235,1.71,2004
106,0.495915,23,1.43,0.448524,136,1.6,2004
107,0.520711,12,1.35,0.475436,75,1.49,2004
108,0.546747,6,1.26,0.503962,39,1.39,2004
109,0.574084,3,1.19,0.534199,19,1.29,2004
110,0.602788,1,1.11,0.566251,9,1.2,2004
111,0.632928,0,1.04,0.600226,4,1.11,2004
112,0.664574,0,0.97,0.63624,2,1.03,2004
113,0.697803,0,0.91,0.674414,1,0.95,2004
114,0.732693,0,0.84,0.714879,0,0.87,2004
115,0.769327,0,0.78,0.757772,0,0.8,2004
116,0.807794,0,0.72,0.803238,0,0.73,2004
117,0.848183,0,0.67,0.848183,0,0.67,2004
118,0.890592,0,0.62,0.890592,0,0.62,2004
119,0.935122,0,0.57,0.935122,0,0.57,2004
