exact_age,male_death_probability,male_number_of_lives,male_life_expectancy,female_death_probability,female_number_of_lives,female_life_expectancy,year
0,0.005837,100000,74.12,0.004907,100000,79.78,2020
1,0.00041,99416,73.55,0.000316,99509,79.17,2020
2,0.000254,99376,72.58,0.000196,99478,78.19,2020
3,0.000207,99350,71.6,0.00016,99458,77.21,2020
4,0.000167,99330,70.62,0.000129,99442,76.22,2020
5,0.000141,99313,69.63,0.000109,99430,75.23,2020
6,0.000123,99299,68.64,0.0001,99419,74.24,2020
7,0.000113,99287,67.65,0.000096,99409,73.25,2020
8,0.000108,99276,66.65,0.000092,99399,72.25,2020
9,0.000114,99265,65.66,0.000089,99390,71.26,2020
10,0.000127,99254,64.67,0.000092,99381,70.27,2020
11,0.000146,99241,63.68,0.000104,99372,69.27,2020
12,0.000174,99227,62.69,0.000123,99362,68.28,2020
13,0.000228,99209,61.7,0.000145,99349,67.29,2020
14,0.000312,99187,60.71,0.000173,99335,66.3,2020
15,0.000435,99156,59.73,0.00021,99318,65.31,2020
16,0.000604,99113,58.76,0.000257,99297,64.32,2020
17,0.000814,99053,57.79,0.000314,99271,63.34,2020
18,0.001051,98972,56.84,0.000384,99240,62.36,2020
19,0.00125,98868,55.9,0.00044,99202,61.38,2020
20,0.001398,98745,54.97,0.000485,99159,60.41,2020
21,0.001524,98607,54.04,0.000533,99111,59.44,2020
22,0.001612,98456,53.12,0.000574,99058,58.47,2020
23,0.001682,98298,52.21,0.000617,99001,57.5,2020
24,0.001747,98132,51.3,0.000655,98940,56.54,2020
25,0.001812,97961,50.39,0.0007,98875,55.58,2020
26,0.001884,97783,49.48,0.000743,98806,54.61,2020
27,0.001974,97599,48.57,0.000796,98732,53.66,2020
28,0.00207,97406,47.66,0.000851,98654,52.7,2020
29,0.002172,97205,46.76,0.000914,98570,51.74,2020
30,0.002275,96994,45.86,0.000976,98480,50.79,2020
31,0.002368,96773,44.97,0.001041,98383,49.84,2020
32,0.002441,96544,44.07,0.001118,98281,48.89,2020
33,0.002517,96308,43.18,0.001186,98171,47.94,2020
34,0.00259,96066,42.29,0.001241,98055,47,2020
35,0.002673,95817,41.39,0.001306,97933,46.06,2020
36,0.002791,95561,40.5,0.001386,97805,45.12,2020
37,0.002923,95294,39.62,0.001472,97670,44.18,2020
38,0.003054,95016,38.73,0.001549,97526,43.24,2020
39,0.003207,94725,37.85,0.001637,97375,42.31,2020
40,0.003333,94422,36.97,0.001735,97215,41.38,2020
41,0.003464,94107,36.09,0.00185,97047,40.45,2020
42,0.003587,93781,35.21,0.00195,96867,39.52,2020
43,0.003735,93445,34.34,0.002072,96678,38.6,2020
44,0.003911,93096,33.46,0.002217,96478,37.68,2020
45,0.004137,92732,32.59,0.002383,96264,36.76,2020
46,0.004452,92348,31.73,0.002573,96035,35.85,2020
47,0.004823,91937,30.87,0.002777,95788,34.94,2020
48,0.005214,91493,30.01,0.002984,95522,34.04,2020
49,0.005594,91016,29.17,0.00321,95237,33.14,2020
50,0.005998,90507,28.33,0.003476,94931,32.24,2020
51,0.0065,89964,27.5,0.003793,94601,31.35,2020
52,0.007081,89380,26.67,0.004136,94242,30.47,2020
53,0.007711,88747,25.86,0.004495,93852,29.59,2020
54,0.008394,88062,25.06,0.00487,93430,28.72,2020
55,0.009109,87323,24.27,0.005261,92975,27.86,2020
56,0.009881,86528,23.48,0.005714,92486,27.01,2020
57,0.010687,85673,22.71,0.006227,91958,26.16,2020
58,0.011566,84757,21.95,0.006752,91385,25.32,2020
59,0.012497,83777,21.21,0.007327,90768,24.49,2020
60,0.013485,82730,20.47,0.007926,90103,23.67,2020
61,0.014595,81614,19.74,0.008544,89389,22.85,2020
62,0.015702,80423,19.03,0.009173,88625,22.04,2020
63,0.016836,79160,18.32,0.009841,87812,21.24,2020
64,0.017908,77828,17.63,0.010529,86948,20.45,2020
65,0.018943,76434,16.94,0.011265,86032,19.66,2020
66,0.020103,74986,16.26,0.012069,85063,18.88,2020
67,0.021345,73479,15.58,0.012988,84037,18.1,2020
68,0.02275,71910,14.91,0.014032,82945,17.34,2020
69,0.024325,70274,14.24,0.015217,81781,16.58,2020
70,0.026137,68565,13.59,0.016634,80537,15.82,2020
71,0.028125,66773,12.94,0.018294,79197,15.08,2020
