exact_age,male_death_probability,male_number_of_lives,male_life_expectancy,female_death_probability,female_number_of_lives,female_life_expectancy,year
72,0.030438,64895,12.3,0.020175,77748,14.36,2020
73,0.033249,62919,11.67,0.022321,76180,13.64,2020
74,0.036975,60827,11.05,0.02503,74479,12.94,2020
75,0.040633,58578,10.46,0.027715,72615,12.26,2020
76,0.04471,56198,9.88,0.030631,70603,11.6,2020
77,0.049152,53685,9.32,0.0339,68440,10.95,2020
78,0.054265,51047,8.77,0.037831,66120,10.31,2020
79,0.059658,48277,8.25,0.042249,63618,9.7,2020
80,0.065568,45397,7.74,0.047148,60931,9.1,2020
81,0.07213,42420,7.25,0.052545,58058,8.53,2020
82,0.079691,39360,6.77,0.058685,55007,7.98,2020
83,0.088578,36224,6.31,0.065807,51779,7.44,2020
84,0.098388,33015,5.88,0.074052,48372,6.93,2020
85,0.109139,29767,5.47,0.083403,44790,6.44,2020
86,0.120765,26518,5.07,0.093798,41054,5.99,2020
87,0.133763,23316,4.7,0.104958,37203,5.55,2020
88,0.14837,20197,4.35,0.117435,33299,5.15,2020
89,0.164535,17200,4.02,0.13154,29388,4.76,2020
90,0.182632,14370,3.72,0.146985,25522,4.41,2020
91,0.202773,11746,3.44,0.163592,21771,4.08,2020
92,0.223707,9364,3.18,0.181562,18209,3.78,2020
93,0.245124,7269,2.96,0.200724,14903,3.51,2020
94,0.266933,5487,2.75,0.219958,11912,3.27,2020
95,0.288602,4023,2.57,0.23946,9292,3.05,2020
96,0.309781,2862,2.42,0.258975,7067,2.85,2020
97,0.330099,1975,2.28,0.278225,5237,2.68,2020
98,0.349177,1323,2.15,0.296912,3780,2.52,2020
99,0.366635,861,2.04,0.314727,2657,2.37,2020
100,0.384967,545,1.93,0.33361,1821,2.23,2020
101,0.404215,335,1.83,0.353627,1214,2.09,2020
102,0.424426,200,1.73,0.374844,784,1.96,2020
103,0.445648,115,1.63,0.397335,490,1.84,2020
104,0.46793,64,1.54,0.421175,296,1.72,2020
105,0.491326,34,1.45,0.446446,171,1.61,2020
106,0.515893,17,1.36,0.473232,95,1.5,2020
107,0.541687,8,1.28,0.501626,50,1.4,2020
108,0.568772,4,1.2,0.531724,25,1.3,2020
109,0.59721,2,1.13,0.563627,12,1.21,2020
110,0.627071,1,1.05,0.597445,5,1.12,2020
111,0.658424,0,0.98,0.633292,2,1.03,2020
112,0.691346,0,0.92,0.671289,1,0.95,2020
113,0.725913,0,0.85,0.711567,0,0.88,2020
114,0.762209,0,0.79,0.754261,0,0.8,2020
115,0.800319,0,0.74,0.799516,0,0.74,2020
116,0.840335,0,0.68,0.840335,0,0.68,2020
117,0.882352,0,0.63,0.882352,0,0.63,2020
118,0.926469,0,0.58,0.926469,0,0.58,2020
119,0.972793,0,0.53,0.972793,0,0.53,2020
