exact_age,male_death_probability,male_number_of_lives,male_life_expectancy,female_death_probability,female_number_of_lives,female_life_expectancy,year
0,0.007566,100000,74.81,0.006156,100000,79.95,2005
1,0.000522,99243,74.38,0.000416,99384,79.45,2005
2,0.000358,99192,73.42,0.000257,99343,78.48,2005
3,0.000255,99156,72.45,0.000181,99318,77.5,2005
4,0.000204,99131,71.47,0.000155,99300,76.52,2005
5,0.000184,99111,70.48,0.000147,99284,75.53,2005
6,0.000174,99092,69.49,0.000142,99270,74.54,2005
7,0.000163,99075,68.51,0.000137,99255,73.55,2005
8,0.000143,99059,67.52,0.000129,99242,72.56,2005
9,0.000117,99045,66.53,0.000117,99229,71.57,2005
10,0.000096,99033,65.53,0.000107,99217,70.58,2005
11,0.000101,99024,64.54,0.000106,99207,69.58,2005
12,0.000155,99014,63.55,0.000123,99196,68.59,2005
13,0.000272,98998,62.56,0.000162,99184,67.6,2005
14,0.000435,98971,61.57,0.000218,99168,66.61,2005
15,0.000613,98928,60.6,0.000282,99146,65.62,2005
16,0.000781,98868,59.64,0.000342,99118,64.64,2005
17,0.00094,98791,58.68,0.00039,99085,63.67,2005
18,0.001077,98698,57.74,0.00042,99046,62.69,2005
19,0.001195,98591,56.8,0.000437,99004,61.72,2005
20,0.001314,98474,55.87,0.000454,98961,60.74,2005
21,0.001427,98344,54.94,0.000473,98916,59.77,2005
22,0.001496,98204,54.02,0.000487,98869,58.8,2005
23,0.00151,98057,53.1,0.000497,98821,57.83,2005
24,0.001482,97909,52.18,0.000505,98772,56.86,2005
25,0.001439,97764,51.25,0.000512,98722,55.88,2005
26,0.001404,97623,50.33,0.000522,98672,54.91,2005
27,0.00138,97486,49.4,0.000538,98620,53.94,2005
28,0.001376,97351,48.47,0.000564,98567,52.97,2005
29,0.00139,97218,47.53,0.000597,98511,52,2005
30,0.001413,97082,46.6,0.000636,98453,51.03,2005
31,0.001439,96945,45.66,0.000681,98390,50.06,2005
32,0.001474,96806,44.73,0.00073,98323,49.1,2005
33,0.001521,96663,43.79,0.000784,98251,48.13,2005
34,0.001581,96516,42.86,0.000844,98174,47.17,2005
35,0.001653,96363,41.93,0.000911,98091,46.21,2005
36,0.001745,96204,40.99,0.000988,98002,45.25,2005
37,0.001869,96036,40.06,0.00108,97905,44.29,2005
38,0.002028,95857,39.14,0.001187,97799,43.34,2005
39,0.002219,95662,38.22,0.001309,97683,42.39,2005
40,0.002436,95450,37.3,0.001442,97556,41.45,2005
41,0.00267,95218,36.39,0.001584,97415,40.51,2005
42,0.002918,94963,35.49,0.001736,97261,39.57,2005
43,0.003176,94686,34.59,0.001896,97092,38.64,2005
44,0.003448,94385,33.7,0.002066,96908,37.71,2005
45,0.003738,94060,32.81,0.00225,96707,36.79,2005
46,0.004055,93708,31.93,0.002446,96490,35.87,2005
47,0.00441,93328,31.06,0.002647,96254,34.96,2005
48,0.004809,92917,30.2,0.00285,95999,34.05,2005
49,0.005245,92470,29.34,0.00306,95725,33.14,2005
50,0.00573,91985,28.49,0.003295,95432,32.24,2005
51,0.006237,91458,27.65,0.003555,95118,31.35,2005
52,0.006716,90888,26.83,0.003821,94780,30.46,2005
53,0.007148,90277,26,0.00409,94418,29.57,2005
54,0.007565,89632,25.19,0.004374,94032,28.69,2005
55,0.008007,88954,24.37,0.004686,93620,27.82,2005
56,0.008531,88242,23.57,0.00505,93182,26.94,2005
57,0.00917,87489,22.77,0.005493,92711,26.08,2005
58,0.009955,86686,21.97,0.006031,92202,25.22,2005
59,0.010869,85823,21.19,0.006653,91646,24.37,2005
60,0.011908,84891,20.42,0.007365,91036,23.53,2005
61,0.013015,83880,19.66,0.00813,90365,22.7,2005
62,0.014131,82788,18.91,0.008907,89631,21.88,2005
63,0.015226,81618,18.17,0.009676,88832,21.08,2005
64,0.016354,80376,17.44,0.010475,87973,20.28,2005
65,0.017609,79061,16.73,0.011366,87051,19.49,2005
66,0.019066,77669,16.02,0.012397,86062,18.7,2005
67,0.020735,76188,15.32,0.013571,84995,17.93,2005
68,0.022655,74608,14.63,0.01491,83842,17.17,2005
69,0.024826,72918,13.96,0.016419,82592,16.42,2005
70,0.027295,71108,13.3,0.01816,81235,15.69,2005
71,0.030012,69167,12.66,0.020086,79760,14.97,2005
72,0.032897,67091,12.04,0.022104,78158,14.27,2005
73,0.035926,64884,11.43,0.024183,76431,13.58,2005
74,0.039188,62553,10.84,0.026414,74582,12.9,2005
75,0.042921,60102,10.26,0.029029,72612,12.24,2005
76,0.047157,57522,9.7,0.032067,70504,11.59,2005
77,0.051737,54809,9.15,0.035389,68243,10.96,2005
78,0.056658,51974,8.63,0.038996,65828,10.34,2005
79,0.062061,49029,8.11,0.043018,63261,9.74,2005
80,0.068216,45986,7.62,0.047669,60540,9.16,2005
81,0.075229,42849,7.14,0.053073,57654,8.59,2005
82,0.08302,39626,6.68,0.059222,54594,8.04,2005
83,0.091635,36336,6.24,0.066184,51361,7.52,2005
84,0.101194,33006,5.82,0.074036,47962,7.02,2005
85,0.111834,29666,5.41,0.082854,44411,6.54,2005
86,0.123673,26349,5.03,0.092709,40731,6.08,2005
87,0.136793,23090,4.67,0.103657,36955,5.65,2005
88,0.151241,19931,4.34,0.115742,33124,5.25,2005
89,0.167026,16917,4.02,0.128995,29291,4.87,2005
90,0.18414,14091,3.72,0.143437,25512,4.52,2005
91,0.202559,11497,3.45,0.159077,21853,4.19,2005
92,0.222243,9168,3.2,0.175914,18377,3.89,2005
93,0.243144,7130,2.97,0.193937,15144,3.61,2005
94,0.265201,5397,2.77,0.213123,12207,3.36,2005
95,0.287099,3965,2.59,0.232548,9605,3.13,2005
96,0.308468,2827,2.43,0.251932,7372,2.93,2005
97,0.328915,1955,2.29,0.270971,5514,2.75,2005
98,0.348039,1312,2.16,0.289339,4020,2.58,2005
99,0.365441,855,2.05,0.3067,2857,2.43,2005
100,0.383713,543,1.94,0.325102,1981,2.29,2005
101,0.402899,334,1.83,0.344608,1337,2.15,2005
102,0.423044,200,1.73,0.365284,876,2.02,2005
103,0.444196,115,1.63,0.387201,556,1.89,2005
104,0.466406,64,1.54,0.410433,341,1.77,2005
105,0.489726,34,1.45,0.435059,201,1.66,2005
106,0.514213,17,1.37,0.461163,114,1.55,2005
107,0.539923,8,1.28,0.488833,61,1.44,2005
108,0.566919,4,1.21,0.518162,31,1.34,2005
109,0.595265,2,1.13,0.549252,15,1.25,2005
110,0.625029,1,1.06,0.582207,7,1.16,2005
111,0.65628,0,0.99,0.61714,3,1.07,2005
112,0.689094,0,0.92,0.654168,1,0.99,2005
113,0.723549,0,0.86,0.693418,0,0.91,2005
114,0.759726,0,0.8,0.735023,0,0.84,2005
115,0.797713,0,0.74,0.779125,0,0.76,2005
116,0.837598,0,0.68,0.825872,0,0.7,2005
117,0.879478,0,0.63,0.875425,0,0.63,2005
118,0.923452,0,0.58,0.923452,0,0.58,2005
119,0.969625,0,0.53,0.969625,0,0.53,2005
